WikiRevId,LastTimestamp,ShouldRevert,NotSure,LooksGood
enwiki:946225304,1590694690,1,0,0
enwiki:947370855,1590694688,2,0,0
enwiki:955775251,1590693434,1,0,0
enwiki:955138801,1590693294,0,1,0
enwiki:952797813,1590692978,0,0,1
enwiki:957173953,1590692912,0,0,1
enwiki:946295568,1590692690,1,0,0
enwiki:946065831,1590692682,1,0,0
enwiki:959148520,1590692616,1,0,0
enwiki:950145935,1590692599,0,0,1
enwiki:956161982,1590692587,1,0,0
enwiki:956247856,1590692580,1,0,0
enwiki:956152235,1590692572,1,0,0
enwiki:949909858,1590692542,1,0,0
enwiki:956705881,1590692491,1,0,0
enwiki:959326597,1590692482,1,0,0
enwiki:956211057,1590692475,1,0,0
enwiki:956360647,1590692324,1,0,0
enwiki:956346772,1590692274,1,0,0
enwiki:947291233,1590692180,0,0,1
enwiki:946392342,1590692170,1,0,0
enwiki:947523287,1590691978,0,0,1
enwiki:959428129,1590691823,0,0,1
enwiki:959427724,1590691784,0,0,1
enwiki:959427936,1590691751,0,0,1
enwiki:950477533,1590691739,2,0,0
enwiki:947385496,1590691731,0,0,1
enwiki:946856197,1590691713,0,0,1
enwiki:959427934,1590691709,0,0,1
enwiki:959427708,1590691701,1,0,0
enwiki:946090928,1590691698,0,0,1
enwiki:959428178,1590691672,0,0,1
enwiki:959427993,1590691652,0,0,1
enwiki:959428153,1590691625,0,0,1
enwiki:959426922,1590691615,0,0,1
enwiki:959427572,1590691604,0,1,0
enwiki:959427612,1590691446,0,0,1
enwiki:959426813,1590691421,0,0,1
enwiki:959426687,1590691406,0,1,0
enwiki:959426793,1590691354,1,0,0
enwiki:959426428,1590691314,0,0,1
enwiki:959424972,1590691307,0,0,1
enwiki:959424928,1590691235,0,0,1
enwiki:956524061,1590690924,0,1,0
enwiki:950877994,1590690888,1,0,0
enwiki:949396992,1590690874,0,0,1
enwiki:956135467,1590690862,1,0,0
enwiki:956346395,1590690756,1,0,0
enwiki:959424785,1590690470,0,0,1
enwiki:959424899,1590690456,1,0,0
enwiki:959424341,1590690427,0,0,1
enwiki:959424245,1590690413,0,0,1
enwiki:959424594,1590690399,0,1,0
enwiki:959423684,1590690376,0,0,1
enwiki:959424598,1590690306,0,0,1
enwiki:959424315,1590690267,0,0,1
enwiki:959423687,1590690259,0,1,0
enwiki:959424015,1590690253,0,0,1
enwiki:959423759,1590690239,0,0,1
enwiki:959423527,1590690226,0,0,1
enwiki:959424420,1590690196,0,0,1
enwiki:959424208,1590690171,0,0,1
enwiki:959423953,1590690157,0,0,1
enwiki:959423329,1590690132,0,0,1
enwiki:959424020,1590690094,0,0,1
enwiki:959424207,1590690083,0,1,0
enwiki:959423364,1590690078,0,0,1
enwiki:959423275,1590690064,0,0,1
enwiki:959423844,1590690049,0,0,1
enwiki:959423924,1590690043,0,0,1
enwiki:959417134,1590690026,1,0,0
enwiki:958497442,1590690017,0,0,1
enwiki:763359831,1590690004,0,0,1
enwiki:947047414,1590689991,1,0,0
enwiki:955201159,1590689989,0,0,1
enwiki:958685882,1590689970,0,0,1
enwiki:959423205,1590689916,0,0,1
enwiki:957467223,1590689908,0,0,1
enwiki:916780263,1590689885,0,0,1
enwiki:958834153,1590689874,0,0,1
